Label,Value
Admin,306
Atal Bihari Vajpayee School of Legal Studies,1564
Centre for Distance and Online Education (CDOE),1
Computer Centre,84
GSV Central Library,74
Institute of Life Long Learning & Extension,732
School of Advanced Agriculture Sciences & Technology,878
"School of Arts, Humanities & Social Sciences",433
School of Basic Sciences,525
School of Business Management,7623
School of Creative and Performing Arts,1838
School of Engineering & Technology (UIET),13608
School of Health Sciences,3805
School of Hotel Management,706
School of Languages,1040
School of Life Science & Biotechnology,5374
School of Pharmaceutical Sciences,2011
University Institute of Dental Sciences,3
University Institute of Education,2150
University Institute of Journalism,1048
University Institute of Lib. & Info. Science,1163
University Institute of Life Sciences,766
University Institute of Physical Education,1399
University Institute of Social Welfare,1851
